Nom,Type,Téléphone Principal,Tous les Téléphones,Email Principal,Tous les Emails,Site Web,Adresse,Code Postal,Ville,Pays,Latitude,Longitude,Note,Nombre d'avis,Niveau de Prix,Ouvert Maintenant,Description,Services,Commodités,Réseaux Sociaux,Nombre de Photos,Propriétaire,Établissement Vérifié,URL Google Maps
"Raphaële Hennemann","Avocat","02 52 35 22 29","","","","http://hennemann-avocat.fr/","","","Angers","FR","47.4747366","-0.5600747","","0","","Non","","","","","0","","Non","https://www.google.com/maps/place/Rapha%C3%ABle+Hennemann/data=!4m7!3m6!1s0x480878c4f8c9032b:0x75b282a3aaa83553!8m2!3d47.4747366!4d-0.5600747!16s%2Fg%2F11vs7v0pmq!19sChIJKwPJ-MR4CEgRUzWoqqOCsnU?authuser=0&hl=fr&rclk=1"
"Quilichini Guillaume","Avocat","02 41 88 53 01","","","","","10 Rue Chaussée St Pierre02 41 88 53 01","","Angers","FR","47.470969","-0.5530328","","0","","Non","","","","","0","","Non","https://www.google.com/maps/place/Quilichini+Guillaume/data=!4m7!3m6!1s0x480878c1e013facb:0x2be1bcdc856c1292!8m2!3d47.470969!4d-0.5530328!16s%2Fg%2F1txnnvl6!19sChIJy_oT4MF4CEgRkhJshdy84Ss?authuser=0&hl=fr&rclk=1"
"Cabinet d’Avocats Boucheron et Associés","Avocat","02 41 86 11 33","","","","","19 Rue René Rouchy","","Angers","FR","47.479301","-0.5468518","","0","","Non","","","","","0","","Non","https://www.google.com/maps/place/Cabinet+d%E2%80%99Avocats+Boucheron+et+Associ%C3%A9s/data=!4m7!3m6!1s0x480878e5ce78d601:0xd85e2203f81ab1f2!8m2!3d47.479301!4d-0.5468518!16s%2Fg%2F11f17rpjvf!19sChIJAdZ4zuV4CEgR8rEa-AMiXtg?authuser=0&hl=fr&rclk=1"
"Avocat Maître ASFAR Guillaume","Avocat","02 57 54 19 96","","","","https://www.sitipro.com/avocat-angers/asfar-guillaume/","","","Angers","FR","47.4732206","-0.5461104","","0","","Non","","","","","0","","Non","https://www.google.com/maps/place/Avocat+Ma%C3%AEtre+ASFAR+Guillaume/data=!4m7!3m6!1s0x480879898c8c6b6b:0x6f24bece7430413e!8m2!3d47.4732206!4d-0.5461104!16s%2Fg%2F11fcr8jfsl!19sChIJa2uMjIl5CEgRPkEwdM6-JG8?authuser=0&hl=fr&rclk=1"
"Avocat no name","Avocat","02 44 87 22 54","","","","","1 Rue de Buffon02 44 87 22 54","","Angers","FR","47.4764236","-0.5492337","","0","","Non","","","","","0","","Non","https://www.google.com/maps/place/Avocat+no+name/data=!4m7!3m6!1s0x480878e890d00001:0x52883c2f0332818!8m2!3d47.4764236!4d-0.5492337!16s%2Fg%2F11fmddqc33!19sChIJAQDQkOh4CEgRGCgz8MKDKAU?authuser=0&hl=fr&rclk=1"
"Maître Juliette Boré","Avocat","06 59 07 96 69","","","","","","","Angers","FR","47.4782503","-0.5486408","","0","","Non","","","","","0","","Non","https://www.google.com/maps/place/Ma%C3%AEtre+Juliette+Bor%C3%A9/data=!4m7!3m6!1s0x480879c6ee9749d3:0xd82a88dc5341f346!8m2!3d47.4782503!4d-0.5486408!16s%2Fg%2F11ww73bb1q!19sChIJ00mX7sZ5CEgRRvNBU9yIKtg?authuser=0&hl=fr&rclk=1"
"Raimbault Frédéric","Avocat","06 11 82 28 91","","","","http://www.steeringlegal.com/team/frederic-raimbault/","","","Angers","FR","47.474984","-0.5472847","","0","","Non","","","","","0","","Non","https://www.google.com/maps/place/Raimbault+Fr%C3%A9d%C3%A9ric/data=!4m7!3m6!1s0x480878e890be308b:0x40284a11172bd67a!8m2!3d47.474984!4d-0.5472847!16s%2Fg%2F11btlv78l8!19sChIJizC-kOh4CEgRetYrFxFKKEA?authuser=0&hl=fr&rclk=1"
"Percy COAGUILA PITA","Avocat","06 42 04 23 95","","","","","","","Angers","FR","47.4741252","-0.5611991","","0","","Non","","","","","0","","Non","https://www.google.com/maps/place/Percy+COAGUILA+PITA/data=!4m7!3m6!1s0x48087939dc858c97:0x754fffb91af7d7fd!8m2!3d47.4741252!4d-0.5611991!16s%2Fg%2F11x63ncpxr!19sChIJl4yF3Dl5CEgR_df3Grn_T3U?authuser=0&hl=fr&rclk=1"
"Beltrando Avocat","Avocat fiscaliste","02 85 35 96 55","","","","https://www.beltrando-avocat.fr/","23 Rue Chevreul Interphone 5 - 1er étage","","Angers","FR","47.4714612","-0.5494363","5","96","","Non","","","","","0","","Non","https://www.google.com/maps/place/Beltrando+Avocat/data=!4m7!3m6!1s0x480878ebcf08c1b7:0xaf2f7bd181599c45!8m2!3d47.4714612!4d-0.5494363!16s%2Fg%2F11ggbqjq4h!19sChIJt8EIz-t4CEgRRZxZgdF7L68?authuser=0&hl=fr&rclk=1"
"EDDE AVOCAT","Avocat","06 62 58 46 50","","","","http://edde.digital-avocat.fr/?utm_source=gmb","","","Angers","FR","47.4747366","-0.5600747","5","28","","Non","","","","","0","","Non","https://www.google.com/maps/place/EDDE+AVOCAT/data=!4m7!3m6!1s0x4808790cc9917c97:0x3dda629862c7b28d!8m2!3d47.4747366!4d-0.5600747!16s%2Fg%2F11jg_xjnk7!19sChIJl3yRyQx5CEgRjbLHYphi2j0?authuser=0&hl=fr&rclk=1"
